imagename,RowSpacinge,WordSpacinge,FontSize,FontShape,FontInclination,ImagePath,id
001-P16.png,稀疏,稀疏,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/001-P16.png,001
001-P17.png,稀疏,稀疏,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/001-P17.png,001
001-P18.png,稀疏,稀疏,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/001-P18.png,001
001-P19.png,稀疏,稀疏,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/001-P19.png,001
001-P20.png,稀疏,稀疏,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/001-P20.png,001
002-P16.png,稀疏,稀疏,小,方,右2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/002-P16.png,002
002-P17.png,稀疏,稀疏,小,方,右2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/002-P17.png,002
002-P18.png,稀疏,稀疏,小,方,右2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/002-P18.png,002
002-P19.png,稀疏,稀疏,小,方,右2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/002-P19.png,002
002-P20.png,稀疏,稀疏,小,方,右2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/002-P20.png,002
003-P16.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/003-P16.png,003
003-P17.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/003-P17.png,003
003-P18.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/003-P18.png,003
003-P19.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/003-P19.png,003
003-P20.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/003-P20.png,003
004-P16.png,稀疏,紧凑,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/004-P16.png,004
004-P17.png,稀疏,紧凑,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/004-P17.png,004
004-P18.png,稀疏,紧凑,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/004-P18.png,004
004-P19.png,稀疏,紧凑,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/004-P19.png,004
004-P20.png,稀疏,紧凑,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/004-P20.png,004
005-P16.png,紧凑,适中,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/005-P16.png,005
005-P17.png,紧凑,适中,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/005-P17.png,005
005-P18.png,紧凑,适中,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/005-P18.png,005
005-P19.png,紧凑,适中,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/005-P19.png,005
005-P20.png,紧凑,适中,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/005-P20.png,005
006-P16.png,稀疏,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/006-P16.png,006
006-P17.png,稀疏,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/006-P17.png,006
006-P18.png,稀疏,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/006-P18.png,006
006-P19.png,稀疏,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/006-P19.png,006
006-P20.png,稀疏,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/006-P20.png,006
007-P16.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/007-P16.png,007
007-P17.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/007-P17.png,007
007-P18.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/007-P18.png,007
007-P19.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/007-P19.png,007
007-P20.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/007-P20.png,007
008-P16.png,适中,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/008-P16.png,008
008-P17.png,适中,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/008-P17.png,008
008-P18.png,适中,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/008-P18.png,008
008-P19.png,适中,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/008-P19.png,008
008-P20.png,适中,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/008-P20.png,008
009-P16.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/009-P16.png,009
009-P17.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/009-P17.png,009
009-P18.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/009-P18.png,009
009-P19.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/009-P19.png,009
009-P20.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/009-P20.png,009
010-P16.png,适中,稀疏,大,方,左2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/010-P16.png,010
010-P17.png,适中,稀疏,大,方,左2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/010-P17.png,010
010-P18.png,适中,稀疏,大,方,左2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/010-P18.png,010
010-P19.png,适中,稀疏,大,方,左2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/010-P19.png,010
010-P20.png,适中,稀疏,大,方,左2,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/010-P20.png,010
011-P16.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/011-P16.png,011
011-P17.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/011-P17.png,011
011-P18.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/011-P18.png,011
011-P19.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/011-P19.png,011
011-P20.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/011-P20.png,011
012-P16.png,适中,适中,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/012-P16.png,012
012-P17.png,适中,适中,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/012-P17.png,012
012-P18.png,适中,适中,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/012-P18.png,012
012-P19.png,适中,适中,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/012-P19.png,012
012-P20.png,适中,适中,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/012-P20.png,012
013-P16.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/013-P16.png,013
013-P17.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/013-P17.png,013
013-P18.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/013-P18.png,013
013-P19.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/013-P19.png,013
013-P20.png,稀疏,稀疏,中,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/013-P20.png,013
014-P16.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/014-P16.png,014
014-P17.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/014-P17.png,014
014-P18.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/014-P18.png,014
014-P19.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/014-P19.png,014
014-P20.png,稀疏,紧凑,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/014-P20.png,014
015-P16.png,稀疏,稀疏,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/015-P16.png,015
015-P17.png,稀疏,稀疏,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/015-P17.png,015
015-P18.png,稀疏,稀疏,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/015-P18.png,015
015-P19.png,稀疏,稀疏,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/015-P19.png,015
015-P20.png,稀疏,稀疏,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/015-P20.png,015
016-P16.png,稀疏,稀疏,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/016-P16.png,016
016-P17.png,稀疏,稀疏,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/016-P17.png,016
016-P18.png,稀疏,稀疏,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/016-P18.png,016
016-P19.png,稀疏,稀疏,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/016-P19.png,016
016-P20.png,稀疏,稀疏,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/016-P20.png,016
017-P16.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/017-P16.png,017
017-P17.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/017-P17.png,017
017-P18.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/017-P18.png,017
017-P19.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/017-P19.png,017
017-P20.png,稀疏,稀疏,小,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/017-P20.png,017
018-P16.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/018-P16.png,018
018-P17.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/018-P17.png,018
018-P18.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/018-P18.png,018
018-P19.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/018-P19.png,018
018-P20.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/018-P20.png,018
019-P16.png,稀疏,紧凑,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/019-P16.png,019
019-P17.png,稀疏,紧凑,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/019-P17.png,019
019-P18.png,稀疏,紧凑,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/019-P18.png,019
019-P19.png,稀疏,紧凑,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/019-P19.png,019
019-P20.png,稀疏,紧凑,小,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/019-P20.png,019
020-P16.png,适中,适中,大,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/020-P16.png,020
020-P17.png,适中,适中,大,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/020-P17.png,020
020-P18.png,适中,适中,大,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/020-P18.png,020
020-P19.png,适中,适中,大,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/020-P19.png,020
020-P20.png,适中,适中,大,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/020-P20.png,020
021-P16.png,适中,适中,中,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/021-P16.png,021
021-P17.png,适中,适中,中,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/021-P17.png,021
021-P18.png,适中,适中,中,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/021-P18.png,021
021-P19.png,适中,适中,中,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/021-P19.png,021
021-P20.png,适中,适中,中,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/021-P20.png,021
022-P16.png,稀疏,稀疏,大,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/022-P16.png,022
022-P17.png,稀疏,稀疏,大,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/022-P17.png,022
022-P18.png,稀疏,稀疏,大,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/022-P18.png,022
022-P19.png,稀疏,稀疏,大,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/022-P19.png,022
022-P20.png,稀疏,稀疏,大,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/022-P20.png,022
023-P16.png,稀疏,适中,小,圆,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/023-P16.png,023
023-P17.png,稀疏,适中,小,圆,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/023-P17.png,023
023-P18.png,稀疏,适中,小,圆,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/023-P18.png,023
023-P19.png,稀疏,适中,小,圆,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/023-P19.png,023
023-P20.png,稀疏,适中,小,圆,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/023-P20.png,023
024-P16.png,稀疏,稀疏,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/024-P16.png,024
024-P17.png,稀疏,稀疏,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/024-P17.png,024
024-P18.png,稀疏,稀疏,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/024-P18.png,024
024-P19.png,稀疏,稀疏,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/024-P19.png,024
024-P20.png,稀疏,稀疏,小,方,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/024-P20.png,024
025-P16.png,适中,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/025-P16.png,025
025-P17.png,适中,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/025-P17.png,025
025-P18.png,适中,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/025-P18.png,025
025-P19.png,适中,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/025-P19.png,025
025-P20.png,适中,稀疏,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/025-P20.png,025
026-P16.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/026-P16.png,026
026-P17.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/026-P17.png,026
026-P18.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/026-P18.png,026
026-P19.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/026-P19.png,026
026-P20.png,适中,紧凑,中,方,左1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/026-P20.png,026
027-P16.png,稀疏,稀疏,大,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/027-P16.png,027
027-P17.png,稀疏,稀疏,大,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/027-P17.png,027
027-P18.png,稀疏,稀疏,大,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/027-P18.png,027
027-P19.png,稀疏,稀疏,大,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/027-P19.png,027
027-P20.png,稀疏,稀疏,大,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/027-P20.png,027
028-P16.png,紧凑,紧凑,中,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/028-P16.png,028
028-P17.png,紧凑,紧凑,中,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/028-P17.png,028
028-P18.png,紧凑,紧凑,中,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/028-P18.png,028
028-P19.png,紧凑,紧凑,中,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/028-P19.png,028
028-P20.png,紧凑,紧凑,中,方,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/028-P20.png,028
029-P16.png,稀疏,适中,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/029-P16.png,029
029-P17.png,稀疏,适中,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/029-P17.png,029
029-P18.png,稀疏,适中,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/029-P18.png,029
029-P19.png,稀疏,适中,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/029-P19.png,029
029-P20.png,稀疏,适中,中,圆,竖直,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/029-P20.png,029
030-P16.png,稀疏,适中,中,长,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/030-P16.png,030
030-P17.png,稀疏,适中,中,长,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/030-P17.png,030
030-P18.png,稀疏,适中,中,长,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/030-P18.png,030
030-P19.png,稀疏,适中,中,长,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/030-P19.png,030
030-P20.png,稀疏,适中,中,长,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/030-P20.png,030
031-P16.png,稀疏,紧凑,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/031-P16.png,031
031-P17.png,稀疏,紧凑,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/031-P17.png,031
031-P18.png,稀疏,紧凑,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/031-P18.png,031
031-P19.png,稀疏,紧凑,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/031-P19.png,031
031-P20.png,稀疏,紧凑,小,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/031-P20.png,031
032-P16.png,稀疏,稀疏,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/032-P16.png,032
032-P17.png,稀疏,稀疏,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/032-P17.png,032
032-P18.png,稀疏,稀疏,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/032-P18.png,032
032-P19.png,稀疏,稀疏,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/032-P19.png,032
032-P20.png,稀疏,稀疏,大,圆,右1,G:\DataSet\HWDB\2.0\HWDB2.0page2\pad/032-P20.png,032
